id,status,sub_status,created_at,operation_date,reference,full_name,courier,ID Envío,tracking
1503847,delivered,delivered,16/5/2020 9:35:18,16/5/2020,Shipit0051,Francisco Javier Garcia,starken,TEST051,929621822
1503846,delivered,delivered,16/5/2020 9:35:17,16/5/2020,Shipit0052,Carlos Gonzalez,starken,TEST052,929621819
1503845,delivered,delivered,16/5/2020 9:35:16,16/5/2020,Shipit0053,Jesus Fernandez,starken,TEST053,929621818
1503844,delivered,delivered,16/5/2020 9:35:15,16/5/2020,Shipit0054,Alejandro Perez,starken,TEST054,929621834
1503843,delivered,delivered,16/5/2020 9:35:14,16/5/2020,Shipit0055,Miguel Lopez,starken,TEST055,929621816
1503842,delivered,delivered,16/5/2020 9:35:13,16/5/2020,Shipit0056,Jose Manuel Rodriguez,starken,TEST056,929621831
1503841,delivered,delivered,16/5/2020 9:35:12,16/5/2020,Shipit0057,Rafael Martinez,starken,TEST057,929621833
1503840,delivered,delivered,16/5/2020 9:35:12,16/5/2020,Shipit0058,Miguel Angel Sanchez,starken,TEST058,929621815
1503839,delivered,delivered,16/5/2020 9:35:11,16/5/2020,Shipit0059,Pedro Gomez,starken,TEST059,929621812
1503838,delivered,delivered,16/5/2020 9:35:10,16/5/2020,Shipit0060,Angel Alvarez,starken,TEST060,929621810
1503837,delivered,delivered,16/5/2020 9:35:09,16/5/2020,Shipit0061,Antonio Martin,starken,TEST061,929621809
1503836,delivered,delivered,16/5/2020 9:35:08,16/5/2020,Shipit0062,Jose Diaz,starken,TEST062,929621796
1503835,delivered,delivered,16/5/2020 9:35:07,16/5/2020,Shipit0063,Manuel Alonso,starken,TEST063,929621799
1503834,delivered,delivered,16/5/2020 9:35:06,16/5/2020,Shipit0064,Francisco Ruiz,starken,TEST064,929621798
1503833,delivered,delivered,16/5/2020 9:35:06,16/5/2020,Shipit0065,David Hernandez,starken,TEST065,929621784
1503832,delivered,delivered,16/5/2020 9:35:05,16/5/2020,Shipit0066,Juan Gutierrez,starken,TEST066,929621795
1503831,delivered,delivered,16/5/2020 9:35:04,16/5/2020,Shipit0067,Jose Antonio Blanco,starken,TEST067,929621793
1503830,delivered,delivered,16/5/2020 9:35:03,16/5/2020,Shipit0068,Javier Jimenez,starken,TEST068,929621794
1503829,delivered,delivered,16/5/2020 9:35:02,16/5/2020,Shipit0069,Daniel Moreno,starken,TEST069,929621792
1503828,delivered,delivered,16/5/2020 9:35:01,16/5/2020,Shipit0070,Jose Luis Muñoz,starken,TEST070,929621786
1503827,delivered,delivered,16/5/2020 9:35:00,16/5/2020,Shipit0071,Francisco Javier Vazquez,starken,TEST071,929621807
1503826,delivered,delivered,16/5/2020 9:35:00,16/5/2020,Shipit0072,Carlos Gil,starken,TEST072,929621785
1503825,delivered,delivered,16/5/2020 9:34:59,16/5/2020,Shipit0073,Jesus Dominguez,starken,TEST073,929621782
1503824,delivered,delivered,16/5/2020 9:34:58,16/5/2020,Shipit0074,Alejandro Castro,starken,TEST074,929621788
1503823,delivered,delivered,16/5/2020 9:34:57,16/5/2020,Shipit0075,Miguel Ramos,starken,TEST075,929621783
1503822,delivered,delivered,16/5/2020 9:34:56,16/5/2020,Shipit0076,Jose Manuel Garcia,starken,TEST076,929621789
1503821,delivered,delivered,16/5/2020 9:34:55,16/5/2020,Shipit0077,Rafael Gonzalez,starken,TEST077,929621787
1503820,delivered,delivered,16/5/2020 9:34:54,16/5/2020,Shipit0078,Miguel Angel Fernandez,starken,TEST078,929621780
1503819,delivered,delivered,16/5/2020 9:34:53,16/5/2020,Shipit0079,Pedro Perez,starken,TEST079,929621781
1503818,delivered,delivered,16/5/2020 9:34:53,16/5/2020,Shipit0080,Angel Lopez,starken,TEST080,929621791
1503817,delivered,delivered,16/5/2020 9:34:52,16/5/2020,Shipit0081,Antonio Rodriguez,starken,TEST081,929621765
1503816,delivered,delivered,16/5/2020 9:34:51,16/5/2020,Shipit0082,Jose Martinez,starken,TEST082,929621779
1503815,delivered,delivered,16/5/2020 9:34:50,16/5/2020,Shipit0083,Manuel Sanchez,starken,TEST083,929621764
1503814,delivered,delivered,16/5/2020 9:34:49,16/5/2020,Shipit0084,Francisco Gomez,starken,TEST084,929621777
1503813,delivered,delivered,16/5/2020 9:34:48,16/5/2020,Shipit0085,David Alvarez,starken,TEST085,929621776
1503812,delivered,delivered,16/5/2020 9:34:47,16/5/2020,Shipit0086,Juan Martin,starken,TEST086,929621762
1503811,delivered,delivered,16/5/2020 9:34:47,16/5/2020,Shipit0087,Jose Antonio Diaz,starken,TEST087,929621790
1503810,delivered,delivered,16/5/2020 9:34:46,16/5/2020,Shipit0088,Javier Alonso,starken,TEST088,929621766
1503809,delivered,delivered,16/5/2020 9:34:45,16/5/2020,Shipit0089,Daniel Ruiz,starken,TEST089,929621763
1503808,delivered,delivered,16/5/2020 9:34:44,16/5/2020,Shipit0090,Jose Luis Hernandez,starken,TEST090,929621778
1503794,delivered,delivered,16/5/2020 9:34:43,16/5/2020,Shipit0091,Francisco Javier Gutierrez,chilexpress,TEST091,712090414055
1503793,delivered,delivered,16/5/2020 9:34:42,16/5/2020,Shipit0092,Carlos Blanco,chilexpress,TEST092,712090414044
1503792,delivered,delivered,16/5/2020 9:34:41,16/5/2020,Shipit0093,Jesus Jimenez,chilexpress,TEST093,712090413963
1503791,delivered,delivered,16/5/2020 9:34:41,16/5/2020,Shipit0094,Alejandro Moreno,chilexpress,TEST094,712090414022
1503790,delivered,delivered,16/5/2020 9:34:40,16/5/2020,Shipit0095,Miguel Muñoz,chilexpress,TEST095,712090414011
1503789,delivered,delivered,15/5/2020 9:34:40,15/5/2020,Shipit0096,Jose Manuel Vazquez,chilexpress,TEST096,712090413893
1503788,delivered,delivered,15/5/2020 9:34:39,15/5/2020,Shipit0097,Rafael Gil,chilexpress,TEST097,712090413860
1503787,delivered,delivered,15/5/2020 9:34:38,15/5/2020,Shipit0098,Miguel Angel Dominguez,chilexpress,TEST098,712090414033
1503786,delivered,delivered,15/5/2020 9:34:37,15/5/2020,Shipit0099,Pedro Castro,chilexpress,TEST099,712090413974
1503785,delivered,delivered,15/5/2020 9:34:36,15/5/2020,Shipit0100,Angel Ramos,chilexpress,TEST100,712090414000
1503784,delivered,delivered,15/5/2020 9:34:35,15/5/2020,Shipit0101,Antonio Garcia,chilexpress,TEST101,712090413834
1503783,delivered,delivered,15/5/2020 9:34:34,15/5/2020,Shipit0102,Jose Gonzalez,chilexpress,TEST102,712090413985
1503782,delivered,delivered,15/5/2020 9:34:34,15/5/2020,Shipit0103,Manuel Fernandez,chilexpress,TEST103,712090413952
1503781,delivered,delivered,15/5/2020 9:34:33,15/5/2020,Shipit0104,Francisco Perez,chilexpress,TEST104,712090413941
1503780,delivered,delivered,15/5/2020 9:34:32,15/5/2020,Shipit0105,David Lopez,chilexpress,TEST105,712090413926
1503779,delivered,delivered,15/5/2020 9:34:31,15/5/2020,Shipit0106,Juan Rodriguez,chilexpress,TEST106,712090413996
1503778,delivered,delivered,15/5/2020 9:34:30,15/5/2020,Shipit0107,Jose Antonio Martinez,chilexpress,TEST107,712090413786
1503777,delivered,delivered,15/5/2020 9:34:29,15/5/2020,Shipit0108,Javier Sanchez,chilexpress,TEST108,712090413871
1503776,delivered,delivered,15/5/2020 9:34:28,15/5/2020,Shipit0109,Daniel Gomez,chilexpress,TEST109,712090413904
1503775,delivered,delivered,15/5/2020 9:34:28,15/5/2020,Shipit0110,Jose Luis Alvarez,chilexpress,TEST110,712090413764
1503774,delivered,delivered,15/5/2020 9:34:27,15/5/2020,Shipit0111,Francisco Javier Martin,chilexpress,TEST111,712090413930
1503773,delivered,delivered,15/5/2020 9:34:26,15/5/2020,Shipit0112,Carlos Diaz,chilexpress,TEST112,712090413731
1503772,delivered,delivered,15/5/2020 9:34:25,15/5/2020,Shipit0113,Jesus Alonso,chilexpress,TEST113,712090413753
1503771,delivered,delivered,15/5/2020 9:34:24,15/5/2020,Shipit0114,Alejandro Ruiz,chilexpress,TEST114,712090413742
1503770,delivered,delivered,15/5/2020 9:34:23,15/5/2020,Shipit0115,Miguel Hernandez,chilexpress,TEST115,712090413775
1503769,delivered,delivered,15/5/2020 9:34:22,15/5/2020,Shipit0116,Jose Manuel Gutierrez,chilexpress,TEST116,712090413845
1503768,delivered,delivered,15/5/2020 9:34:22,15/5/2020,Shipit0117,Rafael Blanco,chilexpress,TEST117,712090413823
1503767,delivered,delivered,15/5/2020 9:34:21,15/5/2020,Shipit0118,Miguel Angel Jimenez,chilexpress,TEST118,712090413801
1503766,delivered,delivered,15/5/2020 9:34:20,15/5/2020,Shipit0119,Pedro Moreno,chilexpress,TEST119,712090413790
1503765,delivered,delivered,15/5/2020 9:34:19,15/5/2020,Shipit0120,Angel Muñoz,chilexpress,TEST120,712090413720
1503764,delivered,delivered,15/5/2020 9:34:18,15/5/2020,Shipit0121,Antonio Vazquez,chilexpress,TEST121,712090413683
1503763,delivered,delivered,15/5/2020 9:34:17,15/5/2020,Shipit0122,Jose Gil,chilexpress,TEST122,712090413672
1503762,delivered,delivered,15/5/2020 9:34:16,15/5/2020,Shipit0123,Manuel Dominguez,chilexpress,TEST123,712090413602
1503761,delivered,delivered,15/5/2020 9:34:15,15/5/2020,Shipit0124,Francisco Castro,chilexpress,TEST124,712090413694
1503760,delivered,delivered,15/5/2020 9:34:15,15/5/2020,Shipit0125,David Ramos,chilexpress,TEST125,712090413646
1503759,delivered,delivered,15/5/2020 9:34:14,15/5/2020,Shipit0126,Juan Garcia,chilexpress,TEST126,712090413716
1503758,delivered,delivered,15/5/2020 9:34:13,15/5/2020,Shipit0127,Jose Antonio Gonzalez,chilexpress,TEST127,712090413635
1503757,delivered,delivered,15/5/2020 9:34:12,15/5/2020,Shipit0128,Javier Fernandez,chilexpress,TEST128,712090413576
1503756,delivered,delivered,15/5/2020 9:34:11,15/5/2020,Shipit0129,Daniel Perez,chilexpress,TEST129,712090413624
1503755,delivered,delivered,15/5/2020 9:34:10,15/5/2020,Shipit0130,Jose Luis Lopez,chilexpress,TEST130,712090413521
1503754,delivered,delivered,15/5/2020 9:34:09,15/5/2020,Shipit0131,Francisco Javier Rodriguez,chilexpress,TEST131,712090413613
1503753,delivered,delivered,15/5/2020 9:34:09,15/5/2020,Shipit0132,Carlos Martinez,chilexpress,TEST132,712090413591
1503752,delivered,delivered,15/5/2020 9:34:08,15/5/2020,Shipit0133,Jesus Sanchez,chilexpress,TEST133,712090413580
1503751,delivered,delivered,15/5/2020 9:34:07,15/5/2020,Shipit0134,Alejandro Gomez,chilexpress,TEST134,712090413565
1503750,delivered,delivered,15/5/2020 9:34:06,15/5/2020,Shipit0135,Miguel Alvarez,chilexpress,TEST135,712090413440
1503749,delivered,delivered,15/5/2020 9:34:05,15/5/2020,Shipit0136,Jose Manuel Martin,chilexpress,TEST136,712090413554
1503748,delivered,delivered,15/5/2020 9:34:04,15/5/2020,Shipit0137,Rafael Diaz,chilexpress,TEST137,712090413650
1503747,delivered,delivered,15/5/2020 9:34:03,15/5/2020,Shipit0138,Miguel Angel Alonso,chilexpress,TEST138,712090413451
1503746,delivered,delivered,15/5/2020 9:34:02,15/5/2020,Shipit0139,Pedro Ruiz,chilexpress,TEST139,712090413506
1503745,delivered,delivered,15/5/2020 9:34:02,15/5/2020,Shipit0140,Angel Hernandez,chilexpress,TEST140,712090413403
1503744,delivered,delivered,15/5/2020 9:34:01,15/5/2020,Shipit0141,Antonio Gutierrez,chilexpress,TEST141,712090413484
1503743,delivered,delivered,15/5/2020 9:34:00,15/5/2020,Shipit0142,Jose Blanco,chilexpress,TEST142,712090413462
1503742,delivered,delivered,15/5/2020 9:33:59,15/5/2020,Shipit0143,Manuel Jimenez,chilexpress,TEST143,712090413473
1503741,delivered,delivered,15/5/2020 9:33:58,15/5/2020,Shipit0144,Francisco Moreno,chilexpress,TEST144,712090413436
1503740,delivered,delivered,15/5/2020 9:33:57,15/5/2020,Shipit0145,David Muñoz,chilexpress,TEST145,712090413355
1503739,delivered,delivered,15/5/2020 9:33:56,15/5/2020,Shipit0146,Juan Vazquez,chilexpress,TEST146,712090413532
1503738,delivered,delivered,15/5/2020 9:33:56,15/5/2020,Shipit0147,Jose Antonio Gil,chilexpress,TEST147,712090413344
1503737,delivered,delivered,15/5/2020 9:33:55,15/5/2020,Shipit0148,Javier Dominguez,chilexpress,TEST148,712090413495
1503736,delivered,delivered,15/5/2020 9:33:54,15/5/2020,Shipit0149,Daniel Castro,chilexpress,TEST149,712090413252
1503735,delivered,delivered,15/5/2020 9:33:53,15/5/2020,Shipit0150,Jose Luis Ramos,chilexpress,TEST150,712090414070
1503734,delivered,delivered,15/5/2020 9:33:52,15/5/2020,Shipit0151,Francisco Javier Garcia,chilexpress,TEST151,712090413263
1503733,delivered,delivered,15/5/2020 9:33:51,15/5/2020,Shipit0152,Carlos Gonzalez,chilexpress,TEST152,712090413370
1503732,delivered,delivered,15/5/2020 9:33:50,15/5/2020,Shipit0153,Jesus Fernandez,chilexpress,TEST153,712090413333
1503731,delivered,delivered,15/5/2020 9:33:50,15/5/2020,Shipit0154,Alejandro Perez,chilexpress,TEST154,712090413230
1503730,delivered,delivered,15/5/2020 9:33:49,15/5/2020,Shipit0155,Miguel Lopez,chilexpress,TEST155,712090413241
1503729,delivered,delivered,15/5/2020 9:33:48,15/5/2020,Shipit0156,Jose Manuel Rodriguez,chilexpress,TEST156,712090413425
1503728,delivered,delivered,15/5/2020 9:33:47,15/5/2020,Shipit0157,Rafael Martinez,chilexpress,TEST157,712090413414
1503727,delivered,delivered,15/5/2020 9:33:46,15/5/2020,Shipit0158,Miguel Angel Sanchez,chilexpress,TEST158,712090413285
1503726,delivered,delivered,15/5/2020 9:33:45,15/5/2020,Shipit0159,Pedro Gomez,chilexpress,TEST159,712090413226
1503725,delivered,delivered,15/5/2020 9:33:44,15/5/2020,Shipit0160,Angel Alvarez,chilexpress,TEST160,712090413915
1503724,delivered,delivered,15/5/2020 9:33:43,15/5/2020,Shipit0161,Antonio Martin,chilexpress,TEST161,712090413322
1503723,delivered,delivered,15/5/2020 9:33:43,15/5/2020,Shipit0162,Jose Diaz,chilexpress,TEST162,712090413311
1503722,delivered,delivered,15/5/2020 9:33:42,15/5/2020,Shipit0163,Manuel Alonso,chilexpress,TEST163,712090413274
1503721,delivered,delivered,15/5/2020 9:33:41,15/5/2020,Shipit0164,Francisco Ruiz,chilexpress,TEST164,712090413300
1503720,delivered,delivered,15/5/2020 9:33:40,15/5/2020,Shipit0165,David Hernandez,chilexpress,TEST165,712090413366
1503719,delivered,delivered,15/5/2020 9:33:39,15/5/2020,Shipit0166,Juan Gutierrez,chilexpress,TEST166,712090413392
1503718,delivered,delivered,15/5/2020 9:33:38,15/5/2020,Shipit0167,Jose Antonio Blanco,chilexpress,TEST167,712090413215
1503717,delivered,delivered,15/5/2020 9:33:37,15/5/2020,Shipit0168,Javier Jimenez,chilexpress,TEST168,712090413171
1503716,delivered,delivered,15/5/2020 9:33:37,15/5/2020,Shipit0169,Daniel Moreno,chilexpress,TEST169,712090413182
1503715,delivered,delivered,15/5/2020 9:33:36,15/5/2020,Shipit0170,Jose Luis Muñoz,chilexpress,TEST170,712090413134
1503714,delivered,delivered,15/5/2020 9:33:35,15/5/2020,Shipit0171,Francisco Javier Vazquez,chilexpress,TEST171,712090413156
1503713,delivered,delivered,15/5/2020 9:33:34,15/5/2020,Shipit0172,Carlos Gil,chilexpress,TEST172,712090413812
1503712,delivered,delivered,15/5/2020 9:33:33,15/5/2020,Shipit0173,Jesus Dominguez,chilexpress,TEST173,712090413510
1503711,delivered,delivered,15/5/2020 9:33:32,15/5/2020,Shipit0174,Alejandro Castro,chilexpress,TEST174,712090413296
1503710,delivered,delivered,15/5/2020 9:33:31,15/5/2020,Shipit0175,Miguel Ramos,chilexpress,TEST175,712090413101
1503709,delivered,delivered,15/5/2020 9:33:31,15/5/2020,Shipit0176,Jose Manuel Garcia,chilexpress,TEST176,712090413160
1503708,delivered,delivered,15/5/2020 9:33:30,15/5/2020,Shipit0177,Rafael Gonzalez,chilexpress,TEST177,712090413053
1503707,delivered,delivered,15/5/2020 9:33:29,15/5/2020,Shipit0178,Miguel Angel Fernandez,chilexpress,TEST178,712090413123
1503706,delivered,delivered,15/5/2020 9:33:28,15/5/2020,Shipit0179,Pedro Perez,chilexpress,TEST179,712090413090
1503705,delivered,delivered,15/5/2020 9:33:27,15/5/2020,Shipit0180,Angel Lopez,chilexpress,TEST180,712090413145
1503704,in_route,second_closed_address,15/5/2020 9:33:26,15/5/2020,Shipit0181,Antonio Rodriguez,chilexpress,TEST181,712090413064
1503703,in_route,second_closed_address,15/5/2020 9:33:25,15/5/2020,Shipit0182,Jose Martinez,chilexpress,TEST182,712090413112
1503448,indemnify,strayed,15/5/2020 9:33:24,15/5/2020,Shipit0183,Manuel Sanchez,chilexpress,TEST183,712090381376
1503446,indemnify,strayed,15/5/2020 9:33:24,15/5/2020,Shipit0184,Francisco Gomez,starken,TEST184,929616234
1503445,indemnify,damaged,15/5/2020 9:33:23,15/5/2020,Shipit0185,David Alvarez,chilexpress,TEST185,712090381391
1503443,indemnify,damaged,15/5/2020 9:33:22,15/5/2020,Shipit0186,Juan Martin,chilexpress,TEST186,712090381380
1503441,indemnify,indemnify,15/5/2020 9:33:21,15/5/2020,Shipit0187,Jose Antonio Diaz,chilexpress,TEST187,712090381365
1503440,indemnify,indemnify,15/5/2020 9:33:20,15/5/2020,Shipit0188,Javier Alonso,starken,TEST188,929616233
1503180,indemnify,indemnify_out_of_date,15/5/2020 9:33:19,15/5/2020,Shipit0189,Daniel Ruiz,starken,TEST189,929615059
1503179,indemnify,indemnify_out_of_date,15/5/2020 9:33:18,15/5/2020,Shipit0190,Jose Luis Hernandez,starken,TEST190,929615073
1503113,pending,pending,15/5/2020 9:33:18,15/5/2020,Shipit0191,Francisco Javier Gutierrez,chilexpress,TEST191,712090377854
1503112,pending,pending,15/5/2020 9:33:17,15/5/2020,Shipit0192,Carlos Blanco,chilexpress,TEST192,712090377810
1503111,pending,pending,15/5/2020 9:33:16,15/5/2020,Shipit0193,Jesus Jimenez,chilexpress,TEST193,712090377692
1501829,pending,pending,15/5/2020 9:33:15,15/5/2020,Shipit0194,Alejandro Moreno,starken,TEST194,929609363
1501828,pending,pending,15/5/2020 9:33:14,15/5/2020,Shipit0195,Miguel Muñoz,starken,TEST195,929609388
1501827,failed,returned_failed,15/5/2020 9:33:13,15/5/2020,Shipit0196,Jose Manuel Vazquez,starken,TEST196,929609365
1501826,failed,returned_failed,15/5/2020 9:33:12,15/5/2020,Shipit0197,Rafael Gil,starken,TEST197,929609364
1501778,failed,returned_failed,15/5/2020 9:33:12,15/5/2020,Shipit0198,Miguel Angel Dominguez,chilexpress,TEST198,712090323313
1501777,failed,returned_failed,15/5/2020 9:33:11,15/5/2020,Shipit0199,Pedro Garcia,chilexpress,TEST199,712090323291
1501776,failed,returned_failed,15/5/2020 9:33:10,15/5/2020,Shipit0200,Angel Gonzalez,chilexpress,TEST200,712090323280
1501775,delivered,delivered,15/5/2020 9:33:09,15/5/2020,Shipit0201,Antonio Fernandez,chilexpress,TEST201,712090323276
1501774,delivered,delivered,15/5/2020 9:33:08,15/5/2020,Shipit0202,Jose Perez,chilexpress,TEST202,712090323265
1501773,delivered,delivered,15/5/2020 9:33:07,15/5/2020,Shipit0203,Manuel Lopez,chilexpress,TEST203,712090323254
1501772,delivered,delivered,15/5/2020 9:33:06,15/5/2020,Shipit0204,Francisco Rodriguez,chilexpress,TEST204,712090323243
1501771,delivered,delivered,15/5/2020 9:33:05,15/5/2020,Shipit0205,David Martinez,chilexpress,TEST205,712090323232
1501770,delivered,delivered,15/5/2020 9:33:05,15/5/2020,Shipit0206,Juan Sanchez,chilexpress,TEST206,712090323221
1501769,delivered,delivered,15/5/2020 9:33:04,15/5/2020,Shipit0207,Jose Antonio Gomez,chilexpress,TEST207,712090323210
1501768,delivered,delivered,15/5/2020 9:33:03,15/5/2020,Shipit0208,Javier Alvarez,chilexpress,TEST208,712090323206
1501767,delivered,delivered,15/5/2020 9:33:02,15/5/2020,Shipit0209,Daniel Martin,chilexpress,TEST209,712090323195
1501766,delivered,delivered,15/5/2020 9:33:01,15/5/2020,Shipit0210,Jose Luis Diaz,chilexpress,TEST210,712090323162
1501765,delivered,delivered,15/5/2020 9:33:00,15/5/2020,Shipit0211,Francisco Javier Alonso,chilexpress,TEST211,712090323151
1501764,delivered,delivered,15/5/2020 9:32:59,15/5/2020,Shipit0212,Carlos Ruiz,chilexpress,TEST212,712090323140
1501763,delivered,delivered,15/5/2020 9:32:59,15/5/2020,Shipit0213,Jesus Hernandez,chilexpress,TEST213,712090323136
1501762,delivered,delivered,15/5/2020 9:32:58,15/5/2020,Shipit0214,Alejandro Gutierrez,chilexpress,TEST214,712090323114
1501761,delivered,delivered,15/5/2020 9:32:57,15/5/2020,Shipit0215,Miguel Blanco,chilexpress,TEST215,712090323125
1501760,delivered,delivered,15/5/2020 9:32:56,15/5/2020,Shipit0216,Jose Manuel Jimenez,chilexpress,TEST216,712090323103
1501758,delivered,delivered,15/5/2020 9:32:55,15/5/2020,Shipit0217,Rafael Moreno,starken,TEST217,929609330
1501757,delivered,delivered,15/5/2020 9:32:54,15/5/2020,Shipit0218,Miguel Angel Muñoz,starken,TEST218,929609312
1501756,delivered,delivered,15/5/2020 9:32:53,15/5/2020,Shipit0219,Pedro Vazquez,starken,TEST219,929609329
